ts_code,trade_date,close,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,ps,ps_ttm,total_mv,circ_mv
000538.SZ,20221117,57.27,0.9082,1.1859,36.7048,38.7159,2.7204,2.8291,2.9463,10290631.8181,4861678.4711
000538.SZ,20221116,56.85,1.0303,1.3454,36.4356,38.432,2.7005,2.8084,2.9247,10215163.5911,4826024.4645
000538.SZ,20221115,57.2,1.2777,1.6684,36.6599,38.6686,2.7171,2.8257,2.9427,10278053.7803,4855736.1367
000538.SZ,20221114,56.99,1.9319,2.5227,36.5253,38.5266,2.7071,2.8153,2.9319,10240319.6668,4837909.1334
000538.SZ,20221111,55.78,2.5248,3.2968,35.7498,37.7087,2.6497,2.7555,2.8697,10022899.2983,4735191.6382
000538.SZ,20221110,55.34,1.1978,1.5641,35.4678,37.4112,2.6288,2.7338,2.847,9943837.3462,4697839.8217
000538.SZ,20221109,54.51,0.6407,0.8366,34.9359,36.8501,2.5893,2.6928,2.8043,9794697.7546,4627380.7135
000538.SZ,20221108,54.08,0.5112,0.6675,34.6603,36.5594,2.5689,2.6715,2.7822,9717432.665,4590877.802
000538.SZ,20221107,54.49,0.7889,1.0301,34.9231,36.8366,2.5884,2.6918,2.8033,9791104.0295,4625682.9036
000538.SZ,20221104,54.92,0.9637,1.2584,35.1986,37.1273,2.6088,2.713,2.8254,9868369.1191,4662185.8151
000538.SZ,20221103,54.28,0.9301,1.2145,34.7885,36.6946,2.5784,2.6814,2.7925,9753369.916,4607855.9003
000538.SZ,20221102,54.67,1.6647,2.1737,35.0384,36.9583,2.5969,2.7007,2.8126,9823447.5554,4640963.1922
000538.SZ,20221101,55.0,0.7993,1.0437,35.2499,37.1814,2.6126,2.717,2.8295,9882744.0195,4668977.0545
000538.SZ,20221031,54.56,1.1155,1.4566,34.9679,36.8839,2.5917,2.6953,2.8069,9803682.0673,4631625.2381
000538.SZ,20221028,54.78,2.0185,2.6358,35.1089,37.0326,2.6022,2.7061,2.8182,9843213.0434,4650301.1463
000538.SZ,20221027,55.1,1.6076,2.0891,35.314,39.5641,2.671,2.7219,2.8041,9900712.645,4677466.1037
000538.SZ,20221026,54.25,1.1183,1.4533,34.7692,38.9538,2.6298,2.6799,2.7609,9747979.3283,4605309.1856
