ts_code,event_type,report_period,announcement_date,event_trading_date,earnings_surprise,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,positive_revision_dummy,CAR20,CAR60,size,beta,book_to_market,turnover20
000509.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-408.62024999999994,-310.21524999999997,98.405,cross_sectional_90d_median,0,0.0031376059951173235,0.022093453567870378,400276.7634,0.1969385142463174,0.030833459236625217,
000516.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-2446.43,-2348.0249999999996,98.405,cross_sectional_90d_median,0,0.12868960292496026,0.3937196729237008,1052281.4739,1.1392356221114341,0.31717838112154273,
000521.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-350.105,-251.7,98.405,cross_sectional_90d_median,0,0.016736099752658287,0.42820231259226327,589116.365,0.7208497318982877,1.0326311441553078,
000523.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-2335.8879,-2237.4829,98.405,cross_sectional_90d_median,0,-0.07745666494356676,-0.24404017038091666,592856.3129,0.6003460274977577,0.3236664940445365,
000524.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-260.595,-162.19,98.405,cross_sectional_90d_median,0,-0.15862589062662732,-0.3137536636740227,723825.2848,0.15797039961368078,0.3159757330637007,
000525.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-154.45499999999998,-56.05,98.405,cross_sectional_90d_median,0,-0.029187748205824766,-0.38021751544127247,766257.2221,0.7829858750111787,0.34372529474444025,
000526.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,-153.475,-55.07,98.405,cross_sectional_90d_median,0,-0.13523987298854728,-0.43887081845810627,393367.6599,1.126524724261416,0.25351755609075927,
000531.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,24.595,123.0,98.405,cross_sectional_90d_median,0,-0.07296268929255903,-0.18897809156220438,695656.0898,1.2341520873625058,0.9697439875872771,
000533.SZ,guidance_initial,2020-09-30,2020-10-15,2020-10-16,1146.595,1245.0,98.405,cross_sectional_90d_median,0,0.03240002058580046,-0.22413789799200928,1083890.304,0.8699192277652243,0.0893854748603352,
000415.SZ,guidance_initial,2020-09-30,2020-10-16,2020-10-19,-198.2115,-253.7665,-55.555,cross_sectional_90d_median,0,-0.04013017330212101,-0.38021536991669896,2838695.2684,0.8994507858632426,1.0165700925078784,
000420.SZ,guidance_initial,2020-12-31,2021-01-09,2021-01-11,-416.79,-416.79,0.0,fallback_zero,0,0.07502005215104836,0.4497821723840789,1231893.0398,0.46813980822114665,0.35905353488205094,
000100.SZ,guidance_initial,2020-12-31,2021-01-12,2021-01-13,65.0,65.0,0.0,fallback_zero,0,0.06260684672998972,0.22023745992333627,9006773.4396,1.5590276563906738,0.682081713389264,
000050.SZ,guidance_initial,2020-12-31,2021-01-14,2021-01-15,86.89,86.89,0.0,fallback_zero,0,-0.09018197081329218,-0.039582717348439406,2037472.811,1.1670141013752335,1.337255950788981,
000301.SZ,guidance_initial,2020-12-31,2021-01-15,2021-01-18,-78.775,-78.775,0.0,fallback_zero,0,0.2583883093167784,0.40820488662926036,7629360.2636,1.0352023503182282,0.4380969070358363,
000536.SZ,guidance_initial,2020-12-31,2021-01-15,2021-01-18,127.05499999999999,127.05499999999999,0.0,fallback_zero,0,-0.2089543143990376,-0.002453277927512265,1175563.9413,0.33409549553630563,0.04865043688092319,
000401.SZ,guidance_initial,2020-12-31,2021-01-20,2021-01-21,-4.035,6.27,10.305,cross_sectional_90d_median,0,0.08354674902701317,0.06630604040078403,1270627.8383,0.5919081615676183,2.14638334406525,
000037.SZ,guidance_initial,2020-12-31,2021-01-21,2021-01-22,150.75,157.02,6.27,cross_sectional_90d_median,0,-0.09518164441018012,-0.07286705402588117,606379.1716,1.1167823926060123,0.2766481312418735,
000045.SZ,guidance_initial,2020-12-31,2021-01-21,2021-01-22,81.74,88.00999999999999,6.27,cross_sectional_90d_median,0,0.00795530532101377,0.20740925011487124,615930.5684,1.1493032652347945,0.4837695321948624,
000157.SZ,guidance_initial,2020-12-31,2021-01-21,2021-01-22,59.58,65.85,6.27,cross_sectional_90d_median,0,0.25368071402297243,0.17817423813064348,7091798.8935,1.3548187754850225,0.8117542008279893,
000530.SZ,guidance_initial,2020-12-31,2021-01-21,2021-01-22,-86.07000000000001,-79.80000000000001,6.27,cross_sectional_90d_median,0,0.0027814124885729256,0.11686211084158027,510986.7792,0.37348426845383476,0.6227813414710096,
