model,dependent_var,variable,coef,t_stat,p_value,n_obs,r2
event_type_revision,CAR20,main_surprise_std,0.053141119083612506,1.6575142568060925,0.09741554891381993,57,0.74375468511714
event_type_revision,CAR20,log_total_mv,-0.06598938464505799,-0.640982934905605,0.521533770354702,57,0.74375468511714
event_type_revision,CAR20,beta,-0.010116631201866278,-0.08600359421482356,0.9314635600446183,57,0.74375468511714
event_type_revision,CAR20,book_to_market,-0.04606754911351342,-0.1625014127244796,0.8709110158696278,57,0.74375468511714
event_type_revision,CAR20,turnover20,0.022902464207537332,0.7409841084814917,0.4587030758676851,57,0.74375468511714
event_type_revision,CAR20,pe_ttm,0.0001531441269506906,0.6450311399127875,0.5189070060232469,57,0.74375468511714
event_type_revision,CAR20,ps_ttm,-7.686353915191055e-05,-0.003574712051513252,0.9971477985192906,57,0.74375468511714
pooled_fe,CAR60,main_surprise_std,-0.020382260622625784,-2.274271046498685,0.02294969487129252,404,0.2672928137924643
pooled_fe,CAR60,log_total_mv,-0.020155109809692748,-1.8062997755068557,0.07087152690003655,404,0.2672928137924643
pooled_fe,CAR60,beta,0.0021049325352764095,0.04222068204987058,0.966322775367779,404,0.2672928137924643
pooled_fe,CAR60,book_to_market,0.028208531787028247,0.8240475426614455,0.40991254468373084,404,0.2672928137924643
pooled_fe,CAR60,turnover20,-0.00023286353241384417,-0.031959823021731455,0.9745040911010985,404,0.2672928137924643
pooled_fe,CAR60,pe_ttm,2.6778515377683394e-06,0.06362106568062223,0.9492719577332489,404,0.2672928137924643
pooled_fe,CAR60,ps_ttm,0.00615779743883506,1.866639506379555,0.061951946729381126,404,0.2672928137924643
event_type_express,CAR60,main_surprise_std,-0.22377562961616335,-0.5886708329540774,0.5560821074195024,41,0.9131409381160839
event_type_express,CAR60,log_total_mv,0.5332758713916623,0.5066789365072771,0.612380112166004,41,0.9131409381160839
event_type_express,CAR60,beta,1.1767635306755035,0.7561424984401813,0.4495637639530402,41,0.9131409381160839
event_type_express,CAR60,book_to_market,-0.43569280745381733,-0.4403903015601825,0.6596544479807781,41,0.9131409381160839
event_type_express,CAR60,turnover20,0.14096400279955304,0.5208049052514832,0.6025026856357929,41,0.9131409381160839
event_type_express,CAR60,pe_ttm,0.0016831793619069796,0.22984592637117926,0.8182114958549461,41,0.9131409381160839
event_type_express,CAR60,ps_ttm,-0.08263287179383826,-0.4454382514603999,0.6560030742322651,41,0.9131409381160839
event_type_formal_release,CAR60,main_surprise_std,-0.040146707436875304,-1.7657146705546642,0.07744373026434155,213,0.3034837057263844
event_type_formal_release,CAR60,log_total_mv,-0.023847465319483768,-1.4033872636512825,0.16050138886802823,213,0.3034837057263844
event_type_formal_release,CAR60,beta,-0.03255000464580261,-0.6302492283989471,0.5285315353776363,213,0.3034837057263844
event_type_formal_release,CAR60,book_to_market,-0.04160459758185793,-1.0057339547973443,0.31454356499700054,213,0.3034837057263844
event_type_formal_release,CAR60,turnover20,-0.00880522077992391,-1.0729762025783496,0.28328179358205163,213,0.3034837057263844
event_type_formal_release,CAR60,pe_ttm,-3.317419152946268e-05,-0.6644733102494622,0.5063874256706111,213,0.3034837057263844
event_type_formal_release,CAR60,ps_ttm,0.016876727102539756,2.552818828087245,0.010685506198018824,213,0.3034837057263844
event_type_preannouncement,CAR60,main_surprise_std,0.018644579052810875,0.6062659573339898,0.5443381605151645,93,0.5606945574290495
event_type_preannouncement,CAR60,log_total_mv,-0.01145890557254044,-0.3535422978387843,0.7236819243465314,93,0.5606945574290495
event_type_preannouncement,CAR60,beta,0.04872562624665029,0.49867309128579507,0.6180097042847001,93,0.5606945574290495
event_type_preannouncement,CAR60,book_to_market,0.1730356233145694,1.3980640689753374,0.16209382852095489,93,0.5606945574290495
event_type_preannouncement,CAR60,turnover20,0.039733789535191584,1.497040503799823,0.13438271919275996,93,0.5606945574290495
event_type_preannouncement,CAR60,pe_ttm,0.0001698305317978428,0.7124279214112414,0.47619983060158977,93,0.5606945574290495
event_type_preannouncement,CAR60,ps_ttm,0.0004419526016224229,0.08796394467870758,0.9299053329989915,93,0.5606945574290495
event_type_revision,CAR60,main_surprise_std,-0.009645047376515866,-0.22613096795134838,0.8210995593938268,57,0.8780543913746811
event_type_revision,CAR60,log_total_mv,-0.2038291217690787,-1.589679991222306,0.11190695606264947,57,0.8780543913746811
event_type_revision,CAR60,beta,-0.1338443108527798,-0.7936944930415099,0.427373306957065,57,0.8780543913746811
event_type_revision,CAR60,book_to_market,-0.14527852267884306,-0.4532161575638,0.650393098852821,57,0.8780543913746811
event_type_revision,CAR60,turnover20,0.060976458791791865,1.3204956556183935,0.18666958555266544,57,0.8780543913746811
event_type_revision,CAR60,pe_ttm,-0.0005492171425562963,-1.6632397926120779,0.09626444518005868,57,0.8780543913746811
event_type_revision,CAR60,ps_ttm,0.03253425546467681,1.001932279918326,0.31637630096619906,57,0.8780543913746811
