ts_code,event_type,report_period,announcement_date,event_trading_date,earnings_surprise,guidance_yoy_midpoint,analyst_consensus_yoy_proxy,consensus_source,positive_revision_dummy,CAR20,CAR60,size,beta,book_to_market,turnover20
000975.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,44.21,40.39,-3.8200000000000003,cross_sectional_90d_median,0,0.04419846235643593,-0.3859705017441438,3340000.2111,0.9401220462213746,0.2675513698630137,
000985.SZ,guidance_upward_revision,2020-06-30,2020-07-14,2020-07-15,110.68804999999998,-112.7142,-223.40224999999998,prior_guidance_same_period,1,0.15171976964861572,0.13294370462690952,178383.952,0.8784883572773713,0.2999130252226854,
001914.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,110.16999999999999,106.35,-3.8200000000000003,cross_sectional_90d_median,0,-0.03797591200116717,-0.28644887701352684,1043182.6594,0.9219382582156043,1.0280662074637608,
001965.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-109.21000000000001,-113.03,-3.8200000000000003,cross_sectional_90d_median,0,-0.027146505333714363,-0.11490259712011298,6292257.9626,0.8173491854883024,1.095890410958904,
001979.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-77.81,-81.63,-3.8200000000000003,cross_sectional_90d_median,0,-0.0885140772767419,-0.20158636465854454,7690675.4419,0.9503233679241249,1.2696800406297613,
002012.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,147.265,143.445,-3.8200000000000003,cross_sectional_90d_median,0,-0.029793948744516727,-0.0642487604464094,332014.0837,0.9717518998250357,0.46888920148168994,
002023.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-178.65,-182.47,-3.8200000000000003,cross_sectional_90d_median,0,-0.061842366749520414,-0.08284050198267684,909776.3686,1.346395058829514,0.4803304673615447,
002030.SZ,guidance_upward_revision,2020-06-30,2020-07-14,2020-07-15,551.48,1073.3,521.8199999999999,prior_guidance_same_period,1,0.303379268679839,0.1309473048989279,837857.2811,-0.34109347474738183,0.9238728750923872,
002033.SZ,guidance_upward_revision,2020-06-30,2020-07-14,2020-07-15,43.34724999999999,-122.94850000000001,-166.29575,prior_guidance_same_period,1,0.024237400153513007,-0.03357900900134152,600593.3471,0.7987961558250869,0.42607584149978694,
002043.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,-60.46,-64.28,-3.8200000000000003,cross_sectional_90d_median,0,0.3059002922342121,0.14084066886510707,1195676.2057,1.0958813407196477,0.2777700619427238,
002049.SZ,guidance_upward_revision,2020-06-30,2020-07-14,2020-07-15,45.0,100.0,55.0,prior_guidance_same_period,1,0.1711707303198052,0.04123293058884969,6031511.2449,1.5574111771470673,0.21759944294542605,
002061.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,17.075,13.254999999999999,-3.8200000000000003,cross_sectional_90d_median,0,0.07805577273479189,0.02628681027513657,1042976.8167,0.9440084366772677,1.5121729925903524,
002079.SZ,guidance_upward_revision,2020-06-30,2020-07-14,2020-07-15,17.5,-5.0,-22.5,prior_guidance_same_period,1,-0.15803906572701937,-0.24805616959538274,831813.1414,1.2384755279275064,0.3720514919264826,
002100.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,947.4150000000001,943.595,-3.8200000000000003,cross_sectional_90d_median,0,-0.10024275185468262,-0.20010420754781444,1135889.2605,1.3489131685860072,0.6312732782021336,
002112.SZ,guidance_initial,2020-06-30,2020-07-14,2020-07-15,345.7,341.88,-3.8200000000000003,cross_sectional_90d_median,0,-0.10863209260467845,-0.09482493869373768,651500.7896,0.8865444637980675,0.1336648220921218,
